file_name,state,inference_transcript,transcript,reviewed_transcript,url,created_at,submitted_at,reviewed_at,audio_duration,original_id
STT_GR_0035_2095_5835792_to_5837392,accepted,ཨེ། ྤྱི་ཏུ་ལ་དེ་ནེ་ལུས་ ,ཨེ་དེའི་སྡུག་བསྔལ་དེ་དེ་ནས་,ཨེ། དེའི་སྡུག་བསྔལ་དེ་དེ་ནས་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2095_5835792_to_5837392.wav,2025-06-20 16:42:28.134,2025-07-29 20:13:02.851,2025-10-21 06:47:15.376,1.6,STT_GR_0035
STT_GR_0128_1023_5080418_to_5083169,submitted,སྒོམ་ྒྱིས་གཅིག་མ་གཏོ་མེད་ཟེར། སྒོམ་ྒྱུ་གཅིག་དེ་ག་རེ་རེ།,སྒོམ་རྒྱུ་གཅིག་མ་གཏོགས་མེད་ཟེར་སྒོམ་རྒྱུ་གཅིག་དེ་ག་རེ་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0128_1023_5080418_to_5083169.wav,2025-08-13 17:20:19.435,2025-08-23 17:27:20.811,,2.751,STT_GR_0128
STT_GR_0035_2096_5837744_to_5840048,accepted,རག་ཐོག་ལ་དངོན་སི་སངུས་གྱིད་ཁི་འབྲེལ་བ་ཡོང་གི་ཡོད་རེད།  ,རང་ཐོག་ལ་དངོས་སུ་སྙིང་རྗེ་ཡིས་འབྲེལ་བ་ཡོང་གི་ཡོད་རེད་,རང་ཐོག་ལ་དངོས་སུ་སྙིང་རྗེ་ཡིས་འབྲེལ་བ་ཡོང་གི་ཡོད་རེད།,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2096_5837744_to_5840048.wav,2025-06-20 16:42:28.134,2025-07-29 20:13:17.151,2025-10-21 06:47:25.702,2.304,STT_GR_0035
STT_GR_0035_2097_5840592_to_5842544,accepted,ཟའ་པག་ཀི་གཟིབ་བྱིའི་ཐབ་ཅད་ལ་ ཁྱབ་ནས།  ,བྱམས་པས་སེམས་ཅན་ཐམས་ཅད་ལ་ཁྱབ་ནས་,བྱམས་པས་སེམས་ཅན་ཐམས་ཅད་ལ་ཁྱབ་ནས་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2097_5840592_to_5842544.wav,2025-06-20 16:42:28.134,2025-07-29 20:13:27.748,2025-10-21 06:47:36.336,1.952,STT_GR_0035
STT_GR_0035_2098_5842800_to_5843664,accepted,སྔུན་གྱི་གི་དེ་རེད།  ,སྙིང་རྗེས་དེ་ནས་,སྙིང་རྗེས་དེ་ནས་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2098_5842800_to_5843664.wav,2025-06-20 16:42:28.134,2025-07-29 20:13:34.655,2025-10-21 06:47:40.155,0.864,STT_GR_0035
STT_GR_0035_2100_5847344_to_5849680,accepted,གཙོ་བོ་དེ་རང་གི་ད་ྱོང་ཡོང་གི་ཡོད་རེད།  ,གཙོ་བོ་དེ་ནས་རང་གི་རིག་སྦྱོང་ཡོང་གི་ཡོད་རེད་,གཙོ་བོ་དེ་ནས་རང་གི་སྒྲིབ་སྦྱོང་ཡོང་གི་ཡོད་རེད།,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2100_5847344_to_5849680.wav,2025-06-20 16:42:28.134,2025-07-29 20:14:04.117,2025-10-21 06:48:08.840,2.336,STT_GR_0035
STT_GR_0035_2104_5852464_to_5855472,accepted,སུམ་ཅུ་རིའ་ཐམས་ཅད་ལ། དེ་ཐབ་ལས་ཀྱི་རྣམ་པ་མི་པར།  ,སེམས་ཅན་གཞན་ཐམས་ཅད་ལ་དེ་ལྟ་བུ་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་,སེམས་ཅན་གཞན་ཐམས་ཅད་ལ་དེ་ལྟ་བུ་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2104_5852464_to_5855472.wav,2025-06-20 16:42:28.134,2025-07-29 20:14:48.190,2025-10-21 06:48:29.652,3.008,STT_GR_0035
STT_GR_0035_2105_5855504_to_5856592,accepted,གསབ་ཐོབ་གི་ཡོད་རེད།  ,གསབ་ཐོབ་ཀྱི་ཡོད་རེད།  ,གསབ་ཐོབ་ཀྱི་ཡོད་རེད།  ,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2105_5855504_to_5856592.wav,2025-06-20 16:42:28.134,2025-07-29 20:15:12.335,2025-10-21 06:48:37.095,1.088,STT_GR_0035
STT_GR_0035_2106_5856816_to_5857680,accepted,དེ་ལྟ་བུ་དེ་ལས།  ,དེ་ལྟ་བུ་དེ་ནས།  ,དེ་ལྟ་བུ་དེ་ནས།  ,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2106_5856816_to_5857680.wav,2025-06-20 16:42:28.134,2025-07-29 20:15:17.185,2025-10-21 06:48:40.579,0.864,STT_GR_0035
STT_GR_0035_2111_5865872_to_5868528,accepted,ད་ངི་དགྱེ་བ་དགའ་ཚེ་དེ་སྒྲོབ་འདྲ་བཏང་ན་ཕུལ་ཡ་མ་སོང་།  ,འདི་ངས་དགེ་བ་ག་ཚོད་ཅིག་སྒྲུབ་ན་ད་ཕན་མ་སོང་ཟེར་,ད་ངས་དགེ་བ་ག་ཚོད་ཅིག་སྒྲུབ་ན་ད་ང་ཕན་མ་སོང་།,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2111_5865872_to_5868528.wav,2025-06-20 16:42:28.134,2025-07-30 13:00:28.255,2025-10-21 06:50:29.179,2.656,STT_GR_0035
STT_GR_0035_2112_5868976_to_5871056,accepted,བདག་ལ་དཔེ་ཆུས་སགྲུ་སནུག་སོ་ག་རེ་བྱེད་ཡེད།  ,ད་ང་དཔེར་ན་ཆོས་འདི་ལ་གནོད་སོང་ག་རེ་བྱེད་ནས་,ད་ང་དཔེར་ན། ཆོས་འདི་ལ་གནོད་སོང་ག་རེ་བྱེད་རེད།,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0035_2112_5868976_to_5871056.wav,2025-06-20 16:42:28.134,2025-07-30 13:00:49.215,2025-10-21 06:50:59.745,2.08,STT_GR_0035
STT_GR_0037_0304_851668_to_852404,accepted,དེའི་སྐབས་ལ་ཚོར།  ,དེའི་སྐབས་ལ་ཚུར་,དེའི་སྐབས་ལ་ཚུར་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0037_0304_851668_to_852404.wav,2025-06-20 16:42:43.783,2025-08-27 20:24:34.957,2025-10-23 07:04:38.920,0.736,STT_GR_0037
STT_GR_0037_0305_852436_to_853428,accepted,དེ་ཡོང་ག་རེད། ཨོ།  ,དྲན་ཡོང་གི་རེད། ཨོ།  ,དྲན་ཡོང་གི་རེད། ཨོ།  ,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0037_0305_852436_to_853428.wav,2025-06-20 16:42:43.783,2025-08-27 20:24:48.107,2025-10-23 07:04:44.154,0.992,STT_GR_0037
STT_GR_0037_0306_853460_to_855988,accepted,རྡོ་རྗེ་གྲིན་ཆེ་རྩེ་ཨ་དེ་ལ་སོགས་པ་ཚ་དྲིལ་ནས།  ,གྲོགས་དེ་དྲན་ཆེན་བརྩེ་བ་དེ་ལ་སོགས་པ་ཚུར་དྲན་ནས་,གྲོགས་དེ་དྲིན་ཆེའི་བརྩེ་བ་དེ་ལ་སོགས་པ་ཚུར་དྲན་ནས་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0037_0306_853460_to_855988.wav,2025-06-20 16:42:43.783,2025-08-27 20:25:02.767,2025-10-23 07:05:10.771,2.528,STT_GR_0037
STT_GR_0125_0368_2612669_to_2613782,submitted,དེ་ལ་དེ་ནས་,དེ་ལ་དེ་ནས་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0125_0368_2612669_to_2613782.wav,2025-08-13 17:20:19.435,2025-08-21 10:21:05.237,,1.113,STT_GR_0125
STT_GR_0122_0599_4146252_to_4152749,submitted,སྐྱབས་འགྲོ་ཚོམ་ནས་དེ་ནས་རྒྱབ་འགྲོའི་སྡོམ་པ་ཞུས་ཚར་ནས་མི་དེ་ད་ ྣས་གཅིག་ཆིས། ཆགས་ཡོང་གི་ཡོད་རེད་དཔེར་ན། གང་རེད།,སྐྱབས་འགྲོ་དབུ་ཚུགས་ནས་སྐྱབས་འགྲོ་ཡི་སྡོམ་པ་ཞུས་ཚར་ནས་མི་དེ་ད་དེ་ནས་ད་སྣེ་གཅིག་ཆགས་ཡོང་གི་ཡོད་རེད། དཔེར་ན་གང་རེད་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0122_0599_4146252_to_4152749.wav,2025-08-13 17:20:19.435,2025-08-20 10:14:23.169,,6.497,STT_GR_0122
STT_GR_0122_0600_4153964_to_4159077,submitted,ཞེམས་ཅན་ཐམས་ཅད་བདེ་བ་དེ་འདིན་གསུམ། བདག་གཙོ་བོ་མ་གཉིད་བཞི་བདེ་བ་དེ་འདིན་དགོས་བསམ་ནས,སེམས་ཅན་ཐམས་ཅད་བདེ་བ་དང་ལྡན་བསམ། བདག་གཙོ་བོ་མ་ཡིན་གཞན་བདེ་བ་དང་ལྡན་དགོས་བསམ་པའི་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0122_0600_4153964_to_4159077.wav,2025-08-13 17:20:19.435,2025-08-20 10:14:48.597,,5.113,STT_GR_0122
STT_GR_0127_0046_509453_to_510820,submitted,ཨེ། གཏི་མུག་གི་,ཨེ། གཏི་མུག་གི་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0127_0046_509453_to_510820.wav,2025-08-13 17:20:19.435,2025-08-23 16:38:23.303,,1.367,STT_GR_0127
STT_GR_0127_0048_512642_to_513807,submitted,བསམ་པོ་ཆགས་ཡོད་རེད།,གསལ་བོ་ཆགས་ཡོད་རེད། ,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0127_0048_512642_to_513807.wav,2025-08-13 17:20:19.435,2025-08-23 16:41:28.932,,1.165,STT_GR_0127
STT_GR_0122_0601_4159330_to_4162924,submitted,དེ་ནས་སེམས་དེ་དུས་གསུམ་གྱི་སངས་རྒྱས་གསུམས་ཅད་གཅིག་པ་ཆགས་འགྲོ་གི་ཡོད་རེད།,དེ་ཡི་སེམས་དེ་དུས་གསུམ་གྱི་སངས་རྒྱས་ཐམས་ཅད་དང་གཅིག་པ་ཆགས་འགྲོ་ཡི་ཡོད་རེད་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0122_0601_4159330_to_4162924.wav,2025-08-13 17:20:19.435,2025-08-20 10:15:12.411,,3.594,STT_GR_0122
STT_GR_0127_0050_522312_to_524421,submitted,གཙོ་བོ་བྱས་དེ་ནས་མིག་གིས་ཟིམ་པུ་ལ་ལྟས་ལསད་,བཙོག་བྱས་མིག་ཟིམ་པོར་བལྟས་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0127_0050_522312_to_524421.wav,2025-08-13 17:20:19.435,2025-08-23 16:42:32.545,,2.109,STT_GR_0127
STT_GR_0127_0052_530580_to_533348,submitted,ཨེ་དེ་ནས་ཐམས་ཅད་ལ་བརྟེན་ནས་དེ་ནས་ཉི་རས་དི་དང་པོ་ལླ,དེ་གས་ཐམས་ཅད་ལ་བལྟས་ནས་དེ་ནས་ཉི་ཟེར་ལ་དང་པོ་ལྟ་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0127_0052_530580_to_533348.wav,2025-08-13 17:20:19.435,2025-08-23 16:46:14.210,,2.768,STT_GR_0127
STT_GR_0122_0602_00_4163464_to_4168493,submitted,དཔེར་ན་ནང་པ་སངས་རྒྱས་མི་ཤེས་སྡོང་འདི་རེད། ཨ། གང་་དྨག་དགོས་ཀྱི་,དཔེར་ན་ནང་པ་སངས་རྒྱས་པའི་སྤྱིར་བཏང་ནས་འདི་རེད། གང་ཡང་དམག་དགོས་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0122_0602_00_4163464_to_4168493.wav,2025-08-13 17:20:19.435,2025-08-20 10:15:38.362,,5.029,STT_GR_0122
STT_GR_0122_0654_4557765_to_4560516,submitted,གསལ་རང་བཞིད་དེ་དེ་གསུ་ལང་པས་ཧ་གོ་ཟེར།,གསལ་བའི་རང་བཞིན་དེ་དེ་གསལ་ལམ་མེ་ཧ་གོ་བ་ཟེར་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0122_0654_4557765_to_4560516.wav,2025-08-13 17:20:19.435,2025-08-20 10:31:41.007,,2.751,STT_GR_0122
STT_GR_0122_0602_01_4168493_to_4173522,submitted,་མ་རེད། འདུལ་སྲད་སྲོག་ཆ་དགོས་ཀྱི་ཡོད་མ་རེད། སཕལ་བསྦྱོར་དགོས་ཀྱི་ཡོད་མ་རེད། བསམ་བློ་གདོན་དང་གོི་དེ་ནས་,དགོས་མ་རེད། རྡུལ་ཕྲན་མཚོན་ཆ་དགོས་མ་རེད། དཔལ་འབྱོར་དགོས་ཀྱི་མ་རེད། བསམ་བློ་གཏོང་སྟངས་ཀྱིས་དེ་ནས་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0122_0602_01_4168493_to_4173522.wav,2025-08-13 17:20:19.435,2025-08-20 10:16:12.990,,5.029,STT_GR_0122
STT_GR_0122_0603_4175310_to_4178196,submitted,ཕན་པ་དང་བདེ་བ་འརྱོད་སུང ཐབས་བསམ་བློ་བཏང་ཡང་ཚར་ན་,ཕན་པ་དང་བདེ་བ་འབྱུང་བའི་ཐབས་བསམ་བློ་གཏོང་ཚར་ན་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0122_0603_4175310_to_4178196.wav,2025-08-13 17:20:19.435,2025-08-20 10:16:28.722,,2.886,STT_GR_0122
STT_GR_0122_0648_4510617_to_4514734,submitted,ཨོ། དེས་སྟང་མ་ཁ་ཤས་ལ་ངོ་བོ་སྟོང་པ་ཡིན། ཁ་ཤས་ལང་བཞིན་བས་བ་ཡོང་།,ཨོ། དེ་སྟོང་པ་ཁ་ཤས་ལ་ངོ་བོ་སྟོང་པ། ཁ་ཤས་ལ་རང་བཞིན་གསལ་བ་,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0122_0648_4510617_to_4514734.wav,2025-08-13 17:20:19.435,2025-08-20 10:27:10.411,,4.117,STT_GR_0122
STT_GR_0127_0108_909407_to_910555,submitted,དེ་གང་རེད་ཟེར་ན།,དེ་གང་རེད་ཟེར་ན།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0127_0108_909407_to_910555.wav,2025-08-13 17:20:19.435,2025-08-23 16:49:24.831,,1.148,STT_GR_0127
STT_GR_0037_1526_4482248_to_4483624,accepted,ཕྱོག་པ་མི་རཛིག་པ་སོ་སྤྲོལ།  ,ཆོག་པར་མི་འཛིན་པའི་བརྩོན་འགྲུས་ཟེར་,ཆོག་པར་མི་འཛིན་པའི་བརྩོན་འགྲུས་ཟེར།,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0037_1526_4482248_to_4483624.wav,2025-06-20 16:42:43.783,2025-08-03 09:29:00.787,2025-10-24 06:23:31.620,1.376,STT_GR_0037
STT_GR_0128_0877_4389488_to_4390500,submitted,ཨེ།,ཨེ།,,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0128_0877_4389488_to_4390500.wav,2025-08-13 17:20:19.435,2025-08-23 17:02:14.757,,1.012,STT_GR_0128
STT_GR_0037_1573_4620380_to_4623100,accepted,གྲོས་གཞི་བག་ཡོད་པ་དེ་ལ། དེ་ནས་དེ་གི་ཟ་རྩིས་དང་།  ,དྲན་ཤེས་བག་ཡོད་པ་ལ་བརྟེན་ནས་དེ་ནས་བྱམས་བརྩེ་,དྲན་ཤེས་བག་ཡོད་པ་ལ་དེ་བརྟེན་ནས་དེ་ཡིས་བྱམས་བརྩེ་བཟང་,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0037_1573_4620380_to_4623100.wav,2025-06-20 16:42:43.783,2025-08-03 09:42:27.002,2025-10-24 06:40:48.101,2.72,STT_GR_0037
